Area,Bedrooms,Bathrooms,Floors,Age,Parking,City,HasGarden,HasPool,Furnished,DistanceToCenter_km,CrimeIndex,SchoolScore,Price
50.0,1.0,1.0,3.0,28.0,1.0,Shiraz,1.0,0.0,0.0,2.0,3.9,7.7,100000
320.0,5.0,5.0,2.0,44.0,3.0,Karaj,1.0,0.0,0.0,5.2,4.1,5.6,560498
163.0,2.0,3.0,,5.0,3.0,Shiraz,0.0,0.0,0.0,11.7,5.2,5.0,228948
86.0,1.0,1.0,4.0,18.0,3.0,Tehran,0.0,1.0,0.0,16.6,9.1,8.1,214990
236.0,5.0,5.0,4.0,42.0,0.0,Qom,0.0,0.0,0.0,22.0,2.8,5.3,164740
361.0,7.0,5.0,1.0,33.0,3.0,Karaj,1.0,0.0,0.0,1.5,2.4,9.5,703990
172.0,4.0,5.0,2.0,11.0,3.0,Shiraz,1.0,,0.0,7.0,3.4,8.9,377052
342.0,7.0,5.0,4.0,25.0,3.0,Rasht,1.0,0.0,0.0,1.6,,8.8,590651
392.0,7.0,5.0,3.0,21.0,3.0,Tehran,0.0,0.0,0.0,34.1,2.5,4.8,795800
164.0,2.0,3.0,4.0,21.0,2.0,Tabriz,0.0,0.0,1.0,29.1,3.5,7.0,127569
254.0,6.0,5.0,3.0,21.0,0.0,Qom,1.0,0.0,0.0,32.7,5.8,6.9,346318
107.0,3.0,2.0,3.0,3.0,2.0,Shiraz,1.0,0.0,1.0,19.2,4.1,4.6,202508
54.0,1.0,1.0,4.0,28.0,2.0,Qom,0.0,0.0,1.0,0.8,5.5,5.4,100000
300.0,5.0,5.0,3.0,32.0,1.0,Tabriz,1.0,0.0,0.0,17.9,1.3,,434484
61.0,1.0,1.0,3.0,36.0,0.0,Karaj,0.0,0.0,0.0,28.4,9.2,6.1,100000
406.0,7.0,5.0,2.0,43.0,2.0,Mashhad,0.0,0.0,0.0,31.5,4.9,5.4,464123
212.0,4.0,5.0,1.0,21.0,3.0,Shiraz,0.0,0.0,,10.2,1.2,6.0,819636
121.0,2.0,1.0,2.0,11.0,1.0,Rasht,1.0,0.0,0.0,29.7,9.6,5.2,100000
213.0,5.0,5.0,3.0,41.0,1.0,Qom,0.0,0.0,,30.0,5.6,7.7,173699
382.0,7.0,5.0,3.0,14.0,2.0,Qom,0.0,1.0,0.0,32.4,8.8,9.3,391768
208.0,4.0,5.0,3.0,30.0,0.0,Mashhad,1.0,1.0,0.0,11.1,2.2,6.2,357740
277.0,5.0,4.0,1.0,37.0,1.0,Tehran,1.0,0.0,1.0,27.5,2.6,5.3,484443
216.0,3.0,2.0,4.0,3.0,2.0,Shiraz,1.0,0.0,1.0,5.4,4.6,8.1,436702
262.0,5.0,5.0,3.0,34.0,0.0,Qom,0.0,0.0,0.0,1.4,8.3,4.9,328555
382.0,6.0,5.0,1.0,,3.0,Qom,0.0,1.0,1.0,11.5,4.3,7.1,521704
383.0,6.0,5.0,3.0,39.0,1.0,Mashhad,0.0,0.0,0.0,29.4,5.3,9.3,383858
128.0,1.0,1.0,1.0,15.0,0.0,Mashhad,1.0,0.0,0.0,30.6,4.6,9.8,100000
191.0,2.0,2.0,4.0,20.0,1.0,Isfahan,1.0,0.0,0.0,3.7,6.3,4.3,242123
74.0,1.0,1.0,4.0,34.0,2.0,Qom,0.0,0.0,0.0,19.5,8.9,5.1,100000
147.0,3.0,3.0,3.0,39.0,1.0,Rasht,0.0,0.0,0.0,2.4,6.9,5.0,118597
173.0,2.0,2.0,1.0,7.0,3.0,Isfahan,0.0,0.0,1.0,33.8,5.2,6.3,100000
184.0,4.0,3.0,1.0,22.0,3.0,Qom,0.0,0.0,0.0,20.6,5.7,5.7,130185
400.0,7.0,5.0,1.0,28.0,3.0,Isfahan,0.0,0.0,0.0,7.9,5.4,8.6,594991
179.0,3.0,3.0,2.0,18.0,1.0,Tabriz,0.0,0.0,0.0,11.9,4.8,6.7,240497
345.0,6.0,5.0,4.0,34.0,0.0,Isfahan,0.0,0.0,0.0,34.0,3.4,5.6,224577
90.0,3.0,2.0,2.0,1.0,0.0,Rasht,1.0,0.0,0.0,7.6,6.4,6.4,273925
187.0,4.0,4.0,4.0,12.0,2.0,Karaj,0.0,0.0,1.0,31.9,8.9,5.9,200432
229.0,4.0,4.0,2.0,17.0,0.0,Tehran,0.0,0.0,0.0,11.1,2.9,9.7,582511
245.0,5.0,5.0,3.0,19.0,3.0,Rasht,1.0,0.0,1.0,2.5,8.8,4.2,423844
236.0,3.0,3.0,1.0,24.0,0.0,Isfahan,1.0,0.0,0.0,21.7,8.2,9.3,193089
